Q1.1: What type of booking did you make today? (select all that apply) *,Subsite,Q1.7: Please share why you are dissatisfied with the overall website. *,Q1.5: Overall experience,Start Date (+00:00 GMT)
"Air,Hotel,Car",eytravelerllp,"I would like the program to already know, based on the charge code, the airport and my profile preference, which hotels are closest to the client location.",2,3/26/2019 11:22
"Air,Hotel",m_fidelity_us,It doesn't save my Marriott number after man times of using it. ,2,3/29/2019 22:46
"Air,Hotel",emtravelus,Same as previous comment,3,3/22/2019 16:45
"Hotel,Rail",ebrd,The option of a good hotel I know was not shown by default. ,3,3/22/2019 12:26
"Air,Hotel",eytravelerllp,scrolling was cumbersome,3,3/27/2019 22:43
"Air,Hotel,Car",newstravelsna,"Cheaper almost anywhere else, not user friendly at all",1,3/27/2019 22:28
"Air,Hotel",mmc_bcd,Hotel booking doesn't coincide with the location I input.  It then shows all the hotels out of policy and no viable options....,2,3/27/2019 22:15
Hotel,accenture2us,"It's very hard to look at multiple hotels - I choose ""map"" so I see where it is, then ""Marriott Brands,"" then zoom in a ton, then can only pick one to look at and if it's expensive and I have to go back, I have to repeat ALL the steps. In addition, it says I'm ""Out of Policy"" because of all the government rates, but I CAN'T do gov rates cuz I'm doing commercial consulting. Figure out how to remove gov rates for non-gov people please. ",3,3/27/2019 17:41
Hotel,northamerica,Hard to go back in the process without having to start over from scratch.,3,3/27/2019 17:09
"Air,Hotel",cernerus,the website is always down and gives me error messages when  I know  there are hotels available,1,3/27/2019 14:43
"Hotel,Car",travelersus,see previous comment,2,3/26/2019 20:28
"Air,Hotel",eytravelerllp,na,3,3/26/2019 20:28
"Air,Hotel",accenture2us,"Inability to truly filter out sold out/out of policy options (when I click through to a hotel that initially shows in policy, it says ""check availability"" then I find out whether I'm really able to book it)",1,3/26/2019 20:25
"Air,Hotel",teradataus,"I get an error that cost per night is more than standard rate.  I was taking a hotel 10-15 miles away at a much cheaper rate.  This should use the starting address you enter, not the one 10-15 miles away. It was $100 cheaper if I stay closer to the address I will be travelling too.  ",3,3/26/2019 20:00
"Air,Hotel,Car",toyotacorp_bcd,"went entirely through process, after got flight set, then rooms weren't available and had to start over. ",1,3/26/2019 19:53
"Air,Hotel",accenture2ca,"It does not allow you to use other discounts like ""AAA"" which may be cheaper than corporate rates.",2,3/26/2019 17:14
"Air,Hotel,Car",accenture2us,see previous,1,3/19/2019 17:08
"Air,Hotel,Car",wellpointus,see prior comments,2,3/26/2019 16:53
"Air,Hotel",accenture2us,Changing to the map view reset my sorting and filtering preferences.,1,3/26/2019 15:59
"Air,Hotel,Car",alcon_us,scam,1,3/26/2019 13:33
"Air,Hotel,Car",emtravelus,Please see previous comment. ,2,3/25/2019 23:26
"Air,Hotel",accenture2ca,would not save my choices,1,3/18/2019 22:00
"Air,Hotel",travelersus,see above,1,3/18/2019 22:01
"Air,Hotel",business_travel,would not allow me to book 2 hotels.  dates were correct.,1,3/25/2019 20:46
Hotel,eytravelerllp,"Provide a map from a targeted location (e.g., client's address) with all or user-selected hotels visible to enable location based comparisons.",3,3/25/2019 19:58
Hotel,toyotacorp_bcd,"Can you add the county to Willow Grove PA
It always wants to go to the Pittsburgh area not Montgomery County near Philadelphia ",3,3/24/2019 3:41
Hotel,toyotacorp_bcd,Hotels website has better rooms available at cheaper prices,1,3/23/2019 22:46
Hotel,amexgbtphillips,see previous comment.  put it in wrong section.,1,3/23/2019 11:44
"Air,Hotel",wellpointus,hotels are far and less than preferred to the recommended intel from local onsite associates,3,3/22/2019 21:22
"Air,Hotel",mitreatlas,The timeout is very annoying.,2,3/22/2019 19:04
"Air,Hotel",novartisuscwt,Because it does not show the nightly breakdown of charges. We are lured in with a cheap first night and the following nights could be 300 more. Crazy. Would prefer to see the nightly breakdown- I may pick a closer hotel to the office- if the hotels were comparable but I don't have any way of knowing until I am at the hotel and ask what the nightly rate is. This is unacceptable. ,2,3/22/2019 14:06
"Air,Hotel",mmc_bcd,Ditto,3,3/22/2019 0:37
Hotel,travelersus,Too many preferred hotels are showing out of policy when they should not be.,3,3/13/2019 22:50
"Air,Hotel",emtravelus,I was unable to add a day to my hotel stay using the site. Had to call in and the assistant was unable as well. She had to call the hotel directly.,2,3/13/2019 22:04
"Air,Hotel",toyotacorp_bcd,See comments written previously did not realize that was for Air only. ,3,3/20/2019 20:22
"Air,Hotel",sabrepoland1,Entering billing information should be more straight forward. Booking.com experience is a few levels above. ,2,3/20/2019 21:00
"Air,Hotel",amexgbtshuttle,"see my first description, its the same feedback",3,3/20/2019 19:17
"Air,Hotel,Car",novartisuscwt,"hotel room in one hour became more expensive and king to queen bed due to trouble booking airfare. 
",1,3/20/2019 17:50
"Air,Hotel,Car",m_fidelity_us,Hotel names do not pull into search feature.,2,3/13/2019 17:46
"Air,Hotel,Car",travelersus,went through the entire thing and it didn't book,1,3/20/2019 17:41
"Air,Hotel",sabregermany1,Form validation as explained,3,3/20/2019 17:11
"Air,Hotel",m_fidelity_us,I was only able to select 2 features instead of 3 when it says I can select 3,3,3/20/2019 15:14
"Air,Hotel,Car",amexgbtshuttle,Would not allow me to book online.  Will need to call rep.,1,3/20/2019 14:06
"Air,Hotel",scbonlineukama,"Lack of options, hotels being offered which are out of policy.",1,3/20/2019 10:23
"Air,Hotel",eytravelerllp,NA,3,3/19/2019 17:23
"Air,Hotel",eytravelerllp,not an easy way to search by brand,2,3/8/2019 19:25
"Air,Hotel",eytravelerllp,It won't save my trip template. I had to reenter everything twice.,3,3/12/2019 2:11
"Air,Hotel,Car",mmc_bcd,See above.,1,3/19/2019 0:21
"Air,Hotel",m_fidelity_us,Could not book hotel for one night when arriving after midnight.,1,3/18/2019 19:35
"Air,Hotel,Car",northamerica,missed offering for 2 of my cities,2,3/18/2019 15:33
Hotel,accenture2us,Interface is not up to par with commercially available sites,2,3/18/2019 2:25
"Air,Hotel,Car,Rail",accenture2us,NEVER WORKED,1,3/18/2019 1:09
Hotel,cernerus,"When you go to reserve a room at the Cerner rate, you then find that rate isn't available.  Or you go through entire booking process only to have it tell you that the room can't be booked and to go through the process again - because they won't honor the established rate.",1,3/17/2019 1:28
"Air,Hotel,Car",eytravelerllp,"Really, try it. I specify hotel brand, no point for it. List of sold out!? Then list of out of policy!!? ",3,3/17/2019 1:10
Hotel,emtravelde,puctures do not fit to what is in text e.g wirl pool,2,3/15/2019 15:25
"Air,Hotel",emtravelsg,see prior comments (this survey is as bad as the OBT - poorly designed and not thinking about the user).,3,3/15/2019 2:17
"Air,Hotel",novartismycwt,Information was not well presented,3,3/15/2019 2:10
"Air,Hotel,Car",emtravelca,page is not as intuitive as it could be,3,3/14/2019 16:24
Hotel,cernerus,n,2,3/13/2019 18:48
"Air,Hotel",amexgbtphillips,the London office didn't come up on the map properly and it wasn't easy to locate which hotel was closest and the best option due to this,1,3/13/2019 18:28
"Air,Hotel,Car",wellpointus,I am not happy with the choices provided,2,3/12/2019 22:27
"Air,Hotel",accenture2ca,"It was within rate, but wouldn't let me book. Had to constantly reenter values as I kept trying things.",1,3/12/2019 22:03
"Air,Hotel,Car",travelersus,Need more options,3,3/5/2019 21:58
Hotel,mmc_marsh,see above,3,3/12/2019 20:58
"Air,Hotel",eytravelerllp,I needed to add a hotel day to an existing trip and was not able to without calling amex support line,3,3/12/2019 16:30
"Air,Hotel",emtravelcz,In preferred location - the tool is not offering all options .,2,3/5/2019 11:30
"Hotel,Rail",mmc_marsh,Difficult to narrow search by brand. Have to reenter brands each time.,3,3/12/2019 13:43
Hotel,teradataus,I love it ,1,3/12/2019 11:51
"Air,Hotel",travelersus,site speed ,3,3/11/2019 20:43
"Air,Hotel",amexgbtshuttle,Based completely on using the incorrect work locations to refer hotels.  Use Phillips 66 locations and not ConocoPhillips work locations to refer hotels.,3,3/11/2019 19:34
"Air,Hotel",emtravelfr,Booking pre selection too narrow 90% &gt; company policy,3,3/11/2019 17:11
"Air,Hotel",emtravelus,same reason as previously mentioned. ,3,3/11/2019 13:44
"Air,Hotel",amexgbtphillips,Filtering hotels is awful,1,3/3/2019 16:51
"Air,Hotel",emtravelus,same reason as stated,2,3/10/2019 5:10
Hotel,travelersus,CREDIT CARD INFO PROBLEMS,3,3/3/2019 0:11
Hotel,eytravelerllp,"More flights, but hotels can also be a challenge to change dates without starting over.",2,3/9/2019 21:23
"Air,Hotel",eytravelerllp,fees don't always show for EY preferred rate,2,3/2/2019 7:37
"Air,Hotel",eytravelerllp,clunky interface that does not remember entries,1,3/8/2019 16:11
Hotel,emtraveluk,See previous comment.  No option to select an air fare with hold luggage.,2,3/7/2019 23:03
"Air,Hotel,Car",travelersus,The hotels suggested are rarely in the area I need to be and are more expensive than booking directly on the hotel website. ,2,3/7/2019 19:51
"Air,Hotel,Car",amexgbtshuttle,Same comment as before,1,3/7/2019 16:23
Hotel,accenture2us,"The entry form is clunky, especially selecting a town. Even when I type ""princeton, nj"" in to the search box, I am presented with a list of about 30 different Princetons and I have to scroll down and select the one in NJ. When booking multiple nights, the entire hotel appears ""Sold Out"" if even 1 night is sold out. I had to do separate searches for each individual night to see which night was the problem. My travel dates are flexible, so being able to see per-night availability and book different hotels for different nights would allow me to make better decisions about my trip timing. The more I list my issues, the more I wish I had selected a greater level of dissatisfaction on the prior survey page. ",3,3/7/2019 14:00
"Air,Hotel",cernerus,Comments shared in previous section. Usability,1,3/7/2019 2:46
"Air,Hotel,Car",flexus,time expired before completion and have to restart often,2,3/6/2019 22:28
"Air,Hotel,Car",cernerus,Does not pull relevant results. Why does motel 6 come back in results? Our company does not book those types of hotels.,1,3/6/2019 15:16
Hotel,travelersus,Same as before ,3,3/5/2019 22:13
"Air,Hotel",novartiscacwt,"My hotel bookings are always ""not confirmed"" and thus I have to remove the hotel and choose another one.... and of course re-enter my address and phone number again!",1,3/5/2019 18:52
Hotel,accenture2ca,Not intuitive,2,2/26/2019 17:10
"Air,Hotel",alcon_ca,I needed to book TWO nights at the hotel and was unable to do so.  Not instructions on adding nights to hotel stay.,3,3/5/2019 16:36
"Hotel,Car,Rail",wellpointus,I am forced to view hotels that are close to my trains destination and not another location.,3,3/5/2019 15:49
"Air,Hotel,Car",emtravelus,Slow,2,3/5/2019 15:19
Hotel,amexgbtphillips,"The booking process has become more time consuming since tripcase now longer allows booking from the phone.
",3,3/5/2019 2:07
"Air,Hotel,Car",business_travel,Ref. Previous comments,1,3/4/2019 20:48
"Air,Hotel",novartisuscwt,the form kept un populating,1,3/4/2019 18:00
"Air,Hotel,Car",amexgbtshuttle,Not Intuitive.  ,3,2/25/2019 17:09
"Air,Hotel",emtravelca,does not consider distance to location - should be map based,2,3/4/2019 16:22
"Air,Hotel",eytravelerllp,Had to scroll through too many hotels to find my favorite hotel,3,3/3/2019 18:59
"Air,Hotel,Car",eytravelerllp,Templates don’t always work,3,3/3/2019 15:47
"Air,Hotel,Car",flexus,I get multiple choices cheaper with my HHonors and Marriott Rewards membership. ,3,3/3/2019 2:47
"Air,Hotel,Car",wellpointus,Sold out on first preference by the time this was straightened out,1,2/23/2019 12:28
"Air,Hotel,Car",toyotacorp_bcd,too difficult to find in policy hotels,2,3/2/2019 2:32
"Air,Hotel",eytravelerllp,"hotel site is not efficient and it's unclear what is close to the office you are looking for. I put in the actual office address and nothing came up. i went back and then found the office locator and it worked, but it didn't show up first thing so that's challenging. Please fix. Thankyou.",3,3/1/2019 17:52
"Air,Hotel",toyotacorp_bcd,refer to prior statement,1,2/28/2019 21:17
"Air,Hotel,Car",travelersus,"see previous. geez.  now I find your survey wasting my time, too",1,2/27/2019 21:34
Hotel,cernerus,it will show the cerner rate and then when you click on it the rate isnt available. Why show the rate if i cant book at the rate ,2,2/27/2019 21:14
Hotel,eytravelerllp,Horrible user experience,3,2/27/2019 21:03
"Air,Hotel,Car",m_fidelity_us,"It's just not smooth like other online bookings.  I wish we could get to ""Get There"" from a standard website, like Orbitz, rather than having to navigate through Fidelity Central.  I also wish there was an app to make it easier to book.",3,2/27/2019 18:09
"Air,Hotel",eytravelerllp,The hotel I wanted did not come up in the search. I had to specifically type in the address and search for it.,1,2/26/2019 22:41
"Air,Hotel",eytravelerllp,bad,1,2/26/2019 2:54
"Air,Hotel,Car",wellpointus,I always book at a Hampton Inn near my office.  That particular Hampton Inn never shows up and takes forever to bring up.  I always end up having to call BCD travel customer service for help. I have never stayed at any other hotel - so why could that particular Hotel/location not be tied in to my profile for ease of reservation.,3,2/25/2019 23:14
"Air,Hotel,Car",emtravelca,see previous comment...google works better...,1,2/25/2019 20:55
"Air,Hotel",travelersus,see other notes,1,2/25/2019 18:17
"Air,Hotel",scbonlineukama,"it failed repeatedly
it said hotels were vailable and then changed
the company locations are all irrelevant and not main offices
China mainland hotels come up for a Hong Kong trip which are clearly irrelevant
",1,2/25/2019 17:21
"Hotel,Car",emtravelus,"Traveler will arrive in Paris early AM.  There is either not a way to book her for the night prior to arrival or it is not intuitive to figure out how to do so.  Employees flying overseas should be able to check into their hotel upon arrival and not have to wait 6+ hours to access comfort / rest.  I will have to contact EMTS directly now to add the room for the additional evening, which partially defeats the purpose of using the OBT that is so heavily encouraged.",2,2/25/2019 15:18
"Air,Hotel",eytravelerllp,User experience poor,2,2/25/2019 13:44
"Air,Hotel",emtravelcz,"hard to find hotel, when entering address for searching in lower resolution displays, the confirm button is hidden behind screen edge and you cannot confirm your selection. Clicking on point of interest on the map does not select the position for searching the hotel.",2,2/25/2019 13:08
"Air,Hotel",emtravelcz,"hi, 
I didn't get the differecnece of price/ option I get around 10 different type of room + the research of the hotel was very hard, even with the adresss. ",3,2/25/2019 6:53
"Air,Hotel",m_fidelity_us,"so many options with vague descriptions for effectively the same room rate for the hotel.  it is so confusing to see 10 options with cryptic descriptions that in the end, are all basically the same information.  ",1,2/24/2019 19:47
Hotel,travelersus,far too many search results returned - many are too far away from my destination given traffic considerations,3,2/24/2019 18:33
Hotel,eytravelerllp,x,1,2/24/2019 1:53
"Air,Hotel",eytravelerllp,cheaper alternatives on other sites,1,2/22/2019 21:00
"Air,Hotel,Car",travelersus,"Hard to find the Specific hotel, even though I had stayed there twice before.",3,2/22/2019 20:02
"Air,Hotel",mitreatlas,see earlier comments,3,2/22/2019 18:01
"Air,Hotel,Car",teradataus,"So pretty much every room you pick shows as out of policy. But on the reasons why screen, you only have the option to accept your choice and reason, or 'Start Over'. I thought I was just replacing my room selection--but it erased my entire trip and put be back at the beginning!! Why?!!? Just go back to the hotel option to adjust rooms, don't force me to go make all my selections for the trip again!!!",3,2/22/2019 17:22
"Air,Hotel,Car",emtravelus,Already shared in prior notes. ,1,2/22/2019 15:57
"Air,Hotel",emtravelus,didn't pull in my rewards number,2,2/22/2019 8:44
"Air,Hotel",eytravelerllp,Same,3,2/22/2019 0:29
"Air,Hotel,Car",m_fidelity_us,"not sure how it sorts the list but my preferred hotel in Dallas NEVER comes to the top of the list even thought it's 5 miles from DFW airport.  Many other hotels that are further away, are shown first.",2,2/21/2019 19:11
"Air,Hotel,Car",toyotacorp_bcd,See previous comments,3,2/21/2019 18:44
"Hotel,Car",travelersus,no preferred hotels in the city in which I'm staying,3,2/21/2019 18:38
"Air,Hotel",northamerica,"This should have been a 7 or 8.  My apologies.
I think the Sabre Preferred pricing should come up at the top of the list.",3,2/20/2019 23:31
Hotel,northamerica,"in all honesty, I really miss the chat.. it is a feature that I really would like to have it back again!  regards, gustavo",1,2/20/2019 20:58
"Air,Hotel,Car",teradataus,"The timeout seems to be too short.  I was trying to find a hotel at a decent price, actively interacting with the site, and when I selected one finally, I got a time out message and had to start the whole thing over.",3,2/20/2019 20:43
"Hotel,Rail",mmc_bcd,Hotels take a very long time to populate. The address feature is not the best; there is no option to presave settings. You are also not able to enter multiple filters before the site loads...so you have to wait for it to reload after each filter. ,3,2/20/2019 4:22
"Air,Hotel",accenture2us,already said,3,2/20/2019 1:57
"Air,Hotel",accenture2us,hotel booking dates were not calculating to airline ticket dates. I kept getting a warning saying the dates were not matching. Checked dates and they matched. Frustrated I kept seeing the same error with no further explanation other than dates not matching.,3,2/20/2019 0:26
Hotel,travelersus,x,2,2/19/2019 23:09
"Air,Hotel,Car",travelersus,"There wasn't any selections, 99% of them were out of policy!!",1,2/19/2019 15:58
"Air,Hotel,Car",wellpointus,Many hotels are out of compliance when they are on the preferred list. ,3,2/18/2019 22:15
"Air,Hotel,Car",travelersus,"It is very difficult to get rooms in multiple locations on different dates in same booking with areas I need to be in. This trip is 3 rooms over 4 nights and had to do at least 5 times before everything takes. It is very unfriendly for different rooms in different areas for different nights and in and out of different airports which I frequently do. Also, many hotels are always only available as mobility rooms which aren't needed. ",3,2/18/2019 19:21
"Air,Hotel,Car",toyotacorp_bcd,Please see above. ,3,2/11/2019 16:38
Hotel,toyotacorp_bcd,See previous answer,3,2/18/2019 15:42
"Air,Hotel",emtraveluk,Sold out hotels should not even appear - what is the point of showing them? Also Policy/out of policy needs to be properly explained. On occasion I have had NO available/in policy hotel options for a city (Ljubjiana) ,2,2/18/2019 14:19
"Air,Hotel,Car",accenture2us,see previous comment,3,2/18/2019 12:23
"Air,Hotel",m_fidelity_us,No map to show where the hotels are in relation to where I need to be,3,2/18/2019 3:26
"Air,Hotel",accenture2us,too much  of texts to read,1,2/15/2019 21:48
"Air,Hotel,Car",accenture2us,"didn't save my trip, didn't apply my frequent stay number",3,2/15/2019 17:51
"Air,Hotel",wellpointus,Every option was out of policy,2,2/15/2019 17:16
"Air,Hotel,Car",travelersus,LIMITED OPTIONS,3,2/14/2019 14:30
"Air,Hotel",travelersus,Was not able to book hotel I needed even though it was showing as 'available' on website.,2,2/6/2019 21:22
"Air,Hotel,Car",wellpointus,Does not offer much in the area of filters and should automatically leave out booked hotels not available,3,2/13/2019 20:21
"Air,Hotel",travelersus,"The prices for the hotels are higher than they are on the hotel's own website, sometimes more than $50 more and the prices for IHG hotels are very high.",3,2/13/2019 17:48
"Air,Hotel,Car",emtravelus,Site crashed,2,2/12/2019 23:02
"Air,Hotel",eytravelerllp,why would you show booked hotels. what value does this add to someone who needs a hotel,1,2/5/2019 18:36
"Air,Hotel,Car",flexus,"Taxes not included
Sites indicates that ""during checkout a 2nd hotel maybe added"" but there are no options to do it
",1,2/12/2019 4:43
Hotel,northamerica,Cant sort/filter by rate.  Filtering by name is not always accurate.  ,3,2/11/2019 19:34
"Air,Hotel",toyotacorp_bcd,Same comment as provided previously.  The Toyota Plano office provided 2 hotels as being close to their office for conference/meeting I am to attend.  The booking system lists one hotel as not approved and the other hotel does not even appear on the list.,3,2/11/2019 19:20
